horse_id,horse,trainer,trainer_id,owner,owner_id,sire,sire_id,dam,dam_id
hrs_40225332,Evies Court (IRE),Noel C Kelly,trn_159876,All Play No Work Syndicate,own_1349384,Court Cave (IRE),sir_4123686,Bouchon (IRE),dam_40225325
hrs_32733519,Garrick Painter (IRE),Noel C Kelly,trn_159876,All Play No Work Syndicate,own_1349384,Zoffany (IRE),sir_5292651,Suraat (IRE),dam_7117152
hrs_36234576,Nakassama (IRE),Noel C Kelly,trn_159876,All Play No Work Syndicate,own_1349384,National Defense (GB),sir_7784448,Kassama (FR),dam_5740518
hrs_36273510,Container Madness (IRE),Martin Brassil,trn_74322,All The Macs Syndicate,own_1331688,Getaway (GER),sir_4602430,She Took A Tree (FR),dam_4089456
hrs_33660298,Samui (GB),Gordon Elliott,trn_163305,Allan Snow,own_1009472,Siyouni (FR),sir_5133128,Appearance (GB),dam_6079927
hrs_41051899,Cruden (GB),Mrs John Harrington,trn_11565,Alpha Racing,own_120012,Time Test (GB),sir_5957938,Amami (IRE),dam_6278349
hrs_46450271,Hello Jack (IRE),Gordon Elliott,trn_163305,Always Optimists Syndicate,own_232260,Wings Of Eagles (FR),sir_7340921,Queen Of The Hill (FR),dam_5444852
hrs_33165300,Mint Boy (IRE),Gavin Cromwell,trn_160524,Alymer Stud,own_1225472,Mount Nelson (GB),sir_4624228,Dollar's Worth (IRE),dam_16176181
hrs_23218986,My Mate Mozzie (IRE),Gavin Cromwell,trn_160524,Alymer Stud,own_1225472,Born To Sea (IRE),sir_5411385,Leo's Spirit (IRE),dam_5722311
hrs_33975102,Redstone (IRE),Gavin Cromwell,trn_160524,Alymer Stud,own_1225472,Soldier Of Fortune (IRE),sir_4624284,Kilbarry Gem (IRE),dam_8654548
hrs_34571397,Springt De La Mare (FR),Gavin Cromwell,trn_160524,Alymer Stud,own_1225472,No Risk At All (FR),sir_5221342,Springa De La Mare (FR),dam_5447204
hrs_22907122,Ash Tree Meadow (FR),Gordon Elliott,trn_163305,Alymer Stud,own_1225472,Bonbon Rose (FR),sir_4200735,Alzasca (FR),dam_4628169
hrs_34571250,Tumuch (FR),Gordon Elliott,trn_163305,Alymer Stud,own_1225472,Buck's Boum (FR),sir_5010166,Pistol Girl (FR),dam_5466412
hrs_24555426,Vina Ardanza (IRE),Gordon Elliott,trn_163305,Alymer Stud,own_1225472,Califet (FR),sir_3769220,Go Noble (IRE),dam_17370857
hrs_35528612,Jaadil (IRE),D E Fitzgerald,trn_135900,An Bothareen Dubh Syndicate,own_1403296,Kessaar (IRE),sir_13930980,Angel Of Light (IRE),dam_6827989
hrs_46667635,Quinn The Eskimo (GER),Paul Nolan,trn_86823,Andrew Gemmell,own_648172,Protectionist (GER),sir_5770891,Quintana (GER),dam_5810301
hrs_34598200,Mount Anglesby (IRE),Andrew McNamara,trn_285435,Andrew Heffernan,own_1384164,Sholokhov (IRE),sir_3839283,Galshan (IRE),dam_18920349
hrs_29509753,Red Trail (IRE),Andrew McNamara,trn_285435,Andrew Heffernan,own_1384164,Galileo Gold (GB),sir_6232947,Tamika (IRE),dam_29509746
