race_id,race_name,course,date,type,class,pattern,aver_or,total_prize
rac_11240671,Free Digital Racecard At raceday-ready.com Handicap,Newcastle (AW),2024-05-03,Flat,Class 4,,80.1,9345.15
rac_11239176,William Hill Extra Place Races Handicap,Newmarket,2024-05-03,Flat,Class 3,,84.5,29511.0
rac_11239163,Darley Maiden Fillies' Stakes (GBB Race),Newmarket,2024-05-03,Flat,Class 2,,13.333333333333334,39348.0
rac_11239150,William Hill Epic Boost Handicap,Newmarket,2024-05-03,Flat,Class 2,,93.8,49185.0
rac_11239137,William Hill King Charles II Stakes (),Newmarket,2024-05-03,Flat,Class 1,Listed,102.0,51881.5
rac_11239124,William Hill Newmarket Stakes () (Colts & Geldings),Newmarket,2024-05-03,Flat,Class 1,Listed,96.4,53361.0
rac_11239111,William Hill Jockey Club Stakes,Newmarket,2024-05-03,Flat,Class 1,Group 2,108.33333333333333,122962.5
rac_11239007,Goodwood Horseracing Club Handicap,Goodwood,2024-05-03,Flat,Class 5,,66.85714285714286,10476.4
rac_11238994,Heros Charity Handicap,Goodwood,2024-05-03,Flat,Class 5,,71.5,10476.4
rac_11238981,William Hill Extra Place Races Handicap,Goodwood,2024-05-03,Flat,Class 4,,78.8,12443.800000000001
rac_11238968,William Hill Epic Value Handicap,Goodwood,2024-05-03,Flat,Class 3,,85.5,19674.0
rac_11238955,British Stallion Studs EBF Restricted Novice Stakes (Bands C/D) (EBF Qual') (GBB/IRE Incentive Race),Goodwood,2024-05-03,Flat,Class 2,,0.0,29511.0
rac_11238942,British Stallion Studs John Dunlop EBF Conditions Stakes (GBB Race),Goodwood,2024-05-03,Flat,Class 2,,68.33333333333333,26751.0
rac_11238929,William Hill Epic Boost Handicap,Goodwood,2024-05-03,Flat,Class 2,,93.0,38744.0
rac_11238916,Racecourse Live Streams On Racing TV Extra Handicap,Musselburgh,2024-05-03,Flat,Class 6,,52.1,6394.05
rac_11238903,Jewson Edinburgh Craigentinny Handicap,Musselburgh,2024-05-03,Flat,Class 5,,68.83333333333333,6885.900000000001
rac_11238877,Donald Wynns 50th Birthday Handicap,Musselburgh,2024-05-03,Flat,Class 6,,62.333333333333336,6885.900000000001
rac_11238864,Join Racing TV Now Restricted Maiden Stakes (For horses In Bands B C And D) (GBB Race),Musselburgh,2024-05-03,Flat,Class 5,,26.2,7869.6
rac_11238851,Weatherbys Global Stallion App Handicap,Musselburgh,2024-05-03,Flat,Class 5,,61.0,7869.599999999999
rac_11238838,weatherbysshop.co.uk Handicap,Musselburgh,2024-05-03,Flat,Class 6,,60.42857142857143,14755.5
rac_11274328,Event Power Champion Hunters' Chase,Punchestown (IRE),2024-05-03,Chase,,,0.0,0.0
rac_11274315,Hanlon Concrete Irish EBF Glencarraig Lady Francis Flood Mares Chase,Punchestown (IRE),2024-05-03,Chase,,Grade 2,129.71428571428572,0.0
rac_11274302,Stanley Asphalt Hunters' Chase for the Bishopscourt Cup,Punchestown (IRE),2024-05-03,Chase,,,0.0,0.0
