race_id,race_name,course
rac_11365887,Support The Irish Injured Jockey Fund Handicap Hurdle,Wexford (IRE)
rac_11365874,Noel O'Connell Memorial Mares Handicap Hurdle,Wexford (IRE)
rac_11365861,Think Print & Design Maiden Hurdle,Wexford (IRE)
rac_11366732,Joe Cooney Memorial Hurdle,Kilbeggan (IRE)
rac_11366719,BetXS Staffless Betting Shops Maiden Hurdle,Kilbeggan (IRE)
rac_11366706,Smiddy's Pub Mullingar Handicap Hurdle,Kilbeggan (IRE)
rac_11366693,Racing Again Summer Evening Racing August 23rd Maiden Hurdle,Kilbeggan (IRE)
rac_11366849,Shortcross Irish Whiskey Handicap Hurdle,Downpatrick (IRE)
rac_11366836,Randox Maiden Hurdle,Downpatrick (IRE)
rac_11366823,Mighty Women Awards Mares Handicap Hurdle,Downpatrick (IRE)
rac_11366810,Shortcross Gin Handicap Hurdle,Downpatrick (IRE)
rac_11366797,Congratulations To Pinkerton On Winning The Tote Galway Plate Rated Hurdle,Downpatrick (IRE)
rac_11366784,ITBA Mares Maiden Hurdle,Downpatrick (IRE)
rac_11367226,J.J. Burke Peugeot Handicap Hurdle,Ballinrobe (IRE)
rac_11367213,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle (IRE Incentive Race),Ballinrobe (IRE)
rac_11367200,Burleigh Accountancy Handicap Hurdle,Ballinrobe (IRE)
rac_11367187,Broderick's Electric Handicap Hurdle,Ballinrobe (IRE)
rac_11367174,Cummins Homevalue Hardware Handicap Hurdle,Ballinrobe (IRE)
rac_11367161,Bank Of Ireland Brendan Maloney Memorial Maiden Hurdle,Ballinrobe (IRE)
rac_11367148,C.J. Sheeran Ltd 3-Y-O Maiden Hurdle,Ballinrobe (IRE)
rac_11367798,Walsh Butler Ltd Electrical Services Handicap Hurdle,Tramore (IRE)
rac_11367785,Broadstreet Bar & Grill Rated Novice Hurdle,Tramore (IRE)
rac_11367772,Waterford FC Handicap Hurdle,Tramore (IRE)
rac_11367759,Bluegrass Horse Feeds Maiden Hurdle,Tramore (IRE)
rac_11369670,Comeragh Veterinary Kilmachthomas Handicap Hurdle,Tramore (IRE)
rac_11369657,Majestic Hotel Mares Maiden Hurdle,Tramore (IRE)
rac_11369644,Assembly Tech Mares Handicap Hurdle,Tramore (IRE)
rac_11369631,Michael Griffin Auctioneers Maiden Hurdle,Tramore (IRE)
rac_11370268,Tramore Amusements Maiden Hurdle,Tramore (IRE)
rac_11370255,Frank Gillane Memorial Handicap Hurdle,Tramore (IRE)
rac_11370242,Peter Queally Memorial Maiden Hurdle,Tramore (IRE)
rac_11376313,Adare Manor Opportunity Handicap Hurdle,Sligo (IRE)
rac_11376300,Francie 'Banger' Burns Handicap Hurdle,Sligo (IRE)
rac_11376287,McDermott Farm Machinery Handicap Hurdle,Sligo (IRE)
rac_11376274,Hankook Pearse Rd Tyres Maiden Hurdle,Sligo (IRE)
rac_11376261,Aidan Moffitt Memorial Handicap Hurdle,Sligo (IRE)
rac_11376248,End Of Summer Mares Maiden Hurdle,Sligo (IRE)
rac_11376456,Irish Stallion Farms EBF Novice Hurdle,Killarney (IRE)
rac_11376443,GMIB Handicap Hurdle,Killarney (IRE)
rac_11376430,Bordeaux Racecourse 3-Y-O Maiden Hurdle,Killarney (IRE)
rac_11378224,New Forest Estate & Golf Club Maiden Hurdle,Kilbeggan (IRE)
rac_11378211,Tom Lynam Memorial Handicap Hurdle,Kilbeggan (IRE)
rac_11378198,Follow Kilbeggan On Instagram Novice Hurdle,Kilbeggan (IRE)
rac_11378185,End Of Season Celebration September 6th Maiden Hurdle,Kilbeggan (IRE)
